"Experiment","Worm.Age","Name","WITS.number","DNA","Proportion"
"Exp3",3,"35","4.WITS11",0.0508709685,3.92808349144328e-08
"Exp3",3,"35","5.WITS13",0.048170372,3.71955259766446e-08
"Exp3",3,"35","6.WITS20",1.333636804,1.02978906591361e-06
"Exp3",3,"35","7.WITS21",0,0
"Exp3",3,"35","8.WITS2",0.559139276,4.31748367337089e-07
"Exp3",3,"35","9.WITS1",25.72823536,1.98664699260804e-05
"Exp3",3,"36","2.WITS19",497931.9571,0.999975852255067
"Exp3",3,"36","3.WITS17",0,0
"Exp3",3,"36","4.WITS11",0,0
"Exp3",3,"36","5.WITS13",0,0
"Exp3",3,"36","6.WITS20",0.45936521,9.22523872621868e-07
"Exp3",3,"36","7.WITS21",0,0
"Exp3",3,"36","8.WITS2",1.506433622,3.02530742111538e-06
"Exp3",3,"36","9.WITS1",10.05842542,2.01999136393821e-05
"Exp3",3,"37","2.WITS19",484228.1132,0.999966225104878
"Exp3",3,"37","3.WITS17",0.791689722,1.63489677939391e-06
"Exp3",3,"37","4.WITS11",1.438997369,2.97163408688841e-06
"Exp3",3,"37","5.WITS13",0,0
"Exp3",3,"37","6.WITS20",0.425691797,8.79084480434504e-07
"Exp3",3,"37","7.WITS21",0,0
"Exp3",3,"37","8.WITS2",0.423760039,8.75095259853504e-07
"Exp3",3,"37","9.WITS1",13.27516721,2.74141845150096e-05
"Exp3",4,"38","2.WITS19",0,0
"Exp3",4,"38","3.WITS17",2067955.288,0.9999762289409
"Exp3",4,"38","4.WITS11",0,0
"Exp3",4,"38","5.WITS13",0,0
"Exp3",4,"38","6.WITS20",0,0
"Exp3",4,"38","7.WITS21",0,0
"Exp3",4,"38","8.WITS2",0,0
"Exp3",4,"38","9.WITS1",49.15865592,2.37710590997482e-05
"Exp3",4,"39","2.WITS19",0,0
"Exp3",4,"39","3.WITS17",1130008.455,0.999973364293421
"Exp3",4,"39","4.WITS11",0,0
"Exp3",4,"39","5.WITS13",0.011605397,1.02699124335762e-08
"Exp3",4,"39","6.WITS20",0,0
"Exp3",4,"39","7.WITS21",0,0
"Exp3",4,"39","8.WITS2",0,0
"Exp3",4,"39","9.WITS1",30.08776996,2.66254366663015e-05
"Exp3",4,"40","2.WITS19",0,0
"Exp3",4,"40","3.WITS17",1209404.33,0.999967399495393
"Exp3",4,"40","4.WITS11",0,0
"Exp3",4,"40","5.WITS13",0,0
"Exp3",4,"40","6.WITS20",0,0
"Exp3",4,"40","7.WITS21",0,0
"Exp3",4,"40","8.WITS2",0,0
"Exp3",4,"40","9.WITS1",39.42847682,3.26005046068917e-05
"Exp3",4,"41","2.WITS19",0,0
"Exp3",4,"41","3.WITS17",993232.7327,0.999971788464536
"Exp3",4,"41","4.WITS11",0,0
"Exp3",4,"41","5.WITS13",0,0
"Exp3",4,"41","6.WITS20",0,0
"Exp3",4,"41","7.WITS21",0,0
"Exp3",4,"41","8.WITS2",0,0
"Exp3",4,"41","9.WITS1",28.02141099,2.82115354644011e-05
"Exp3",5,"42","2.WITS19",0,0
"Exp3",5,"42","3.WITS17",2.378428981,6.21366515328359e-05
"Exp3",5,"42","4.WITS11",38266.61086,0.999718336492325
"Exp3",5,"42","5.WITS13",0,0
"Exp3",5,"42","6.WITS20",0,0
"Exp3",5,"42","7.WITS21",0,0
"Exp3",5,"42","8.WITS2",8.402915572,0.000219526856142527
"Exp3",5,"42","9.WITS1",0,0
"Exp3",5,"43","2.WITS19",1.324250056,1.34581790693872e-05
"Exp3",5,"43","3.WITS17",2.494210288,2.53483309594905e-05
"Exp3",5,"43","4.WITS11",98369.39492,0.999715216761622
"Exp3",5,"43","5.WITS13",0,0
"Exp3",5,"43","6.WITS20",0,0
"Exp3",5,"43","7.WITS21",0,0
"Exp3",5,"43","8.WITS2",17.64005764,0.000179273584651019
"Exp3",5,"43","9.WITS1",6.563417036,6.67031436980772e-05
"Exp3",5,"44","2.WITS19",0,0
"Exp3",5,"44","3.WITS17",2.02075939,1.08126752387715e-05
"Exp3",5,"44","4.WITS11",186775.5397,0.999398178385985
"Exp3",5,"44","5.WITS13",0,0
"Exp3",5,"44","6.WITS20",0.094810411,5.07311354568269e-07
"Exp3",5,"44","7.WITS21",0,0
"Exp3",5,"44","8.WITS2",48.18923145,0.00025785084174462
"Exp3",5,"44","9.WITS1",62.16844434,0.000332650785677192
"Exp3",5,"45","2.WITS19",0,0
"Exp3",5,"45","3.WITS17",2.975819695,1.23580292536741e-05
"Exp3",5,"45","4.WITS11",240702.1669,0.999591616713505
"Exp3",5,"45","5.WITS13",0.168834035,7.01136546361164e-07
"Exp3",5,"45","6.WITS20",0.833008119,3.45932877601646e-06
"Exp3",5,"45","7.WITS21",0,0
"Exp3",5,"45","8.WITS2",41.95174208,0.000174217832060968
"Exp3",5,"45","9.WITS1",52.40949802,0.000217646959857739
"Exp3",6,"46","2.WITS19",0,0
"Exp3",6,"46","3.WITS17",0,0
"Exp3",6,"46","4.WITS11",5.806841875,9.93562088867945e-05
"Exp3",6,"46","5.WITS13",58352.57158,0.998423999789749
"Exp3",6,"46","6.WITS20",0.111942007,1.91534980116864e-06
"Exp3",6,"46","7.WITS21",0,0
"Exp3",6,"46","8.WITS2",37.03138881,0.000633614360641509
"Exp3",6,"46","9.WITS1",49.15865592,0.0008411142909211
"Exp3",6,"47","2.WITS19",0.614709606,1.48464782923682e-05
"Exp3",6,"47","3.WITS17",10.0340093,0.000242341586667625
"Exp3",6,"47","4.WITS11",0,0
"Exp3",6,"47","5.WITS13",41316.1647,0.997868808873728
"Exp3",6,"47","6.WITS20",0.097471774,2.35414017071602e-06
"Exp3",6,"47","7.WITS21",0,0
"Exp3",6,"47","8.WITS2",34.55174613,0.000834494440749737
"Exp3",6,"47","9.WITS1",42.94276457,0.00103715448039181
"Exp3",6,"48","2.WITS19",2.832957113,4.00858791982949e-05
"Exp3",6,"48","3.WITS17",0,0
"Exp3",6,"48","4.WITS11",0.320833715,4.53974452462181e-06
"Exp3",6,"48","5.WITS13",70579.73119,0.99869163756397
"Exp3",6,"48","6.WITS20",0.05681113,8.03868185596012e-07
"Exp3",6,"48","7.WITS21",0.018529678,2.62191909112499e-07
"Exp3",6,"48","8.WITS2",29.66538575,0.000419760350090876
"Exp3",6,"48","9.WITS1",59.57032918,0.000842910402121623
"Exp3",6,"49","2.WITS19",0,0
"Exp3",6,"49","3.WITS17",0,0
"Exp3",6,"49","4.WITS11",2.046727383,2.68048262169975e-05
"Exp3",6,"49","5.WITS13",76267.58592,0.998833261115129
"Exp3",6,"49","6.WITS20",0,0
"Exp3",6,"49","7.WITS21",0,0
"Exp3",6,"49","8.WITS2",26.18605043,0.000342943831658152
"Exp3",6,"49","9.WITS1",60.85552312,0.000796990226995987
"Exp3",7,"50","2.WITS19",0,0
"Exp3",7,"50","3.WITS17",0,0
"Exp3",7,"50","4.WITS11",0.119640991,2.46731388152157e-07
"Exp3",7,"50","5.WITS13",0.077778578,1.60400013056067e-07
"Exp3",7,"50","6.WITS20",484844.6911,0.99987807417365
"Exp3",7,"50","7.WITS21",0,0
"Exp3",7,"50","8.WITS2",18.64575614,3.84524840283947e-05
"Exp3",7,"50","9.WITS1",40.27912244,8.30662109207363e-05
"Exp3",7,"51","2.WITS19",0.921318942,2.00731214640931e-06
"Exp3",7,"51","3.WITS17",3.673035065,8.00257930674546e-06
"Exp3",7,"51","4.WITS11",0,0
"Exp3",7,"51","5.WITS13",158.02289,0.000344290399391032
"Exp3",7,"51","6.WITS20",458729.8044,0.99945183618301
